,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"(313, 227, 123, 123)",0.01,0.0,0.06,0.82,0.01,0.03,0.08
1,"(315, 228, 122, 122)",0.0,0.0,0.01,0.85,0.0,0.01,0.11
2,"(313, 228, 120, 120)",0.0,0.0,0.01,0.9,0.0,0.01,0.07
3,"(312, 227, 123, 123)",0.0,0.0,0.01,0.86,0.0,0.02,0.1
4,"(315, 227, 122, 122)",0.0,0.0,0.01,0.88,0.0,0.01,0.1
5,"(316, 228, 121, 121)",0.0,0.0,0.01,0.9,0.0,0.01,0.07
6,"(314, 228, 121, 121)",0.0,0.0,0.02,0.9,0.0,0.02,0.07
7,"(313, 227, 122, 122)",0.0,0.0,0.01,0.87,0.0,0.01,0.1
8,"(314, 228, 120, 120)",0.01,0.0,0.02,0.86,0.0,0.01,0.1
9,"(312, 227, 123, 123)",0.0,0.0,0.01,0.89,0.0,0.02,0.08
10,"(314, 228, 121, 121)",0.0,0.0,0.02,0.87,0.0,0.02,0.08
11,"(316, 228, 122, 122)",0.0,0.0,0.01,0.91,0.0,0.01,0.07
12,"(315, 228, 121, 121)",0.0,0.0,0.02,0.83,0.0,0.01,0.13
13,"(314, 228, 121, 121)",0.01,0.0,0.05,0.75,0.0,0.04,0.16
14,"(316, 229, 121, 121)",0.0,0.0,0.02,0.85,0.0,0.02,0.1
15,"(313, 228, 121, 121)",0.01,0.0,0.05,0.62,0.0,0.04,0.27
16,"(313, 226, 123, 123)",0.0,0.0,0.03,0.75,0.0,0.02,0.2
17,"(316, 228, 123, 123)",0.0,0.0,0.03,0.85,0.0,0.02,0.1
18,"(314, 227, 122, 122)",0.01,0.0,0.03,0.81,0.0,0.01,0.13
19,"(316, 229, 121, 121)",0.0,0.0,0.01,0.86,0.0,0.01,0.11
20,"(315, 228, 123, 123)",0.0,0.0,0.01,0.87,0.0,0.01,0.1
21,"(315, 229, 121, 121)",0.0,0.0,0.03,0.83,0.0,0.03,0.1
22,"(313, 227, 123, 123)",0.01,0.0,0.04,0.75,0.01,0.03,0.16
