,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"(349, 218, 110, 110)",0.01,0.0,0.04,0.03,0.23,0.0,0.67
1,"(354, 218, 107, 107)",0.01,0.0,0.04,0.01,0.27,0.0,0.67
2,"(352, 217, 109, 109)",0.01,0.0,0.03,0.02,0.26,0.0,0.68
3,"(353, 218, 107, 107)",0.01,0.0,0.05,0.01,0.26,0.0,0.67
4,"(353, 217, 107, 107)",0.01,0.0,0.06,0.01,0.37,0.0,0.55
5,"(352, 217, 107, 107)",0.02,0.0,0.06,0.02,0.33,0.0,0.57
6,"(353, 218, 106, 106)",0.02,0.0,0.06,0.01,0.29,0.0,0.63
7,"(354, 218, 104, 104)",0.02,0.0,0.09,0.01,0.41,0.0,0.47
8,"(354, 217, 104, 104)",0.02,0.0,0.1,0.01,0.31,0.0,0.55
9,"(352, 216, 108, 108)",0.02,0.0,0.07,0.05,0.29,0.0,0.58
10,"(353, 217, 106, 106)",0.02,0.0,0.06,0.02,0.31,0.0,0.59
11,"(352, 216, 106, 106)",0.01,0.0,0.05,0.02,0.26,0.0,0.66
12,"(352, 215, 107, 107)",0.01,0.0,0.04,0.03,0.21,0.0,0.72
13,"(352, 215, 107, 107)",0.01,0.0,0.03,0.02,0.36,0.0,0.57
14,"(352, 216, 105, 105)",0.02,0.0,0.07,0.02,0.27,0.0,0.61
15,"(351, 215, 105, 105)",0.02,0.0,0.06,0.02,0.29,0.0,0.61
16,"(351, 214, 106, 106)",0.02,0.0,0.04,0.02,0.33,0.0,0.59
17,"(351, 214, 108, 108)",0.03,0.0,0.06,0.02,0.31,0.0,0.58
18,"(355, 217, 100, 100)",0.03,0.0,0.09,0.01,0.42,0.0,0.46
19,"(353, 217, 100, 100)",0.02,0.0,0.1,0.03,0.34,0.0,0.5
20,"(352, 213, 106, 106)",0.01,0.0,0.04,0.01,0.41,0.0,0.53
21,"(352, 214, 105, 105)",0.02,0.0,0.07,0.01,0.38,0.0,0.51
22,"(352, 215, 106, 106)",0.02,0.0,0.08,0.03,0.31,0.0,0.56
23,"(355, 216, 102, 102)",0.03,0.0,0.1,0.01,0.55,0.0,0.32
24,"(355, 216, 102, 102)",0.03,0.0,0.12,0.01,0.41,0.0,0.43
25,"(356, 216, 101, 101)",0.02,0.0,0.14,0.01,0.4,0.0,0.42
26,"(354, 215, 103, 103)",0.02,0.0,0.14,0.03,0.3,0.0,0.51
27,"(355, 214, 103, 103)",0.02,0.0,0.06,0.02,0.28,0.0,0.62
28,"(354, 213, 104, 104)",0.02,0.0,0.1,0.04,0.23,0.0,0.6
29,"(353, 213, 103, 103)",0.02,0.0,0.14,0.03,0.25,0.0,0.56
30,"(354, 212, 104, 104)",0.02,0.0,0.09,0.05,0.22,0.0,0.62
31,"(352, 210, 105, 105)",0.01,0.0,0.06,0.03,0.15,0.0,0.74
32,"(352, 210, 104, 104)",0.02,0.0,0.05,0.03,0.2,0.0,0.7
33,"(351, 210, 105, 105)",0.03,0.0,0.07,0.04,0.15,0.0,0.7
34,"(351, 210, 102, 102)",0.03,0.0,0.04,0.03,0.28,0.0,0.63
35,"(346, 207, 106, 106)",0.06,0.0,0.04,0.04,0.36,0.0,0.5
36,"(349, 213, 99, 99)",0.04,0.0,0.08,0.06,0.36,0.0,0.45
37,"(346, 213, 103, 103)",0.04,0.0,0.09,0.07,0.34,0.0,0.46
38,"(342, 212, 106, 106)",0.04,0.0,0.05,0.04,0.52,0.0,0.36
39,"(340, 212, 108, 108)",0.04,0.0,0.03,0.04,0.55,0.0,0.34
40,"(342, 215, 103, 103)",0.02,0.0,0.03,0.03,0.39,0.0,0.53
41,"(341, 217, 105, 105)",0.04,0.0,0.03,0.06,0.5,0.0,0.36
42,"(341, 218, 105, 105)",0.03,0.0,0.03,0.1,0.42,0.0,0.42
43,"(341, 218, 104, 104)",0.04,0.0,0.03,0.1,0.4,0.0,0.43
44,"(341, 218, 104, 104)",0.03,0.0,0.04,0.14,0.42,0.0,0.37
45,"(341, 218, 103, 103)",0.03,0.0,0.04,0.04,0.48,0.0,0.4
46,"(343, 219, 102, 102)",0.03,0.0,0.05,0.08,0.42,0.0,0.42
47,"(343, 219, 101, 101)",0.03,0.0,0.06,0.03,0.6,0.0,0.28
48,"(343, 218, 105, 105)",0.02,0.0,0.04,0.04,0.35,0.0,0.54
49,"(343, 218, 104, 104)",0.02,0.0,0.05,0.02,0.36,0.0,0.55
50,"(344, 218, 104, 104)",0.02,0.0,0.07,0.02,0.4,0.0,0.49
51,"(342, 215, 109, 109)",0.02,0.0,0.05,0.03,0.42,0.0,0.48
52,"(341, 214, 110, 110)",0.02,0.0,0.06,0.03,0.4,0.0,0.49
53,"(342, 215, 110, 110)",0.03,0.0,0.06,0.02,0.4,0.0,0.49
54,"(342, 214, 111, 111)",0.03,0.0,0.06,0.02,0.57,0.0,0.32
55,"(343, 215, 110, 110)",0.02,0.0,0.07,0.01,0.4,0.0,0.5
56,"(342, 214, 113, 113)",0.02,0.0,0.03,0.03,0.29,0.0,0.61
57,"(342, 214, 113, 113)",0.01,0.0,0.03,0.02,0.31,0.0,0.63
58,"(343, 214, 113, 113)",0.01,0.0,0.02,0.02,0.23,0.0,0.72
59,"(343, 214, 115, 115)",0.01,0.0,0.03,0.04,0.38,0.0,0.53
60,"(345, 216, 112, 112)",0.02,0.0,0.03,0.03,0.34,0.0,0.59
61,"(350, 221, 105, 105)",0.02,0.0,0.06,0.04,0.33,0.0,0.55
62,"(350, 221, 106, 106)",0.02,0.0,0.05,0.06,0.32,0.0,0.54
63,"(349, 220, 110, 110)",0.02,0.0,0.05,0.11,0.3,0.0,0.52
64,"(351, 221, 108, 108)",0.02,0.0,0.04,0.04,0.21,0.0,0.69
65,"(352, 223, 105, 105)",0.03,0.0,0.05,0.02,0.34,0.0,0.55
66,"(352, 222, 107, 107)",0.03,0.0,0.04,0.03,0.36,0.0,0.53
67,"(351, 223, 107, 107)",0.03,0.0,0.03,0.01,0.34,0.0,0.59
68,"(352, 226, 107, 107)",0.02,0.0,0.09,0.02,0.57,0.0,0.3
