,box,angry,disgust,fear,happy,sad,surprise,neutral
72,"(338, 251, 94, 94)",0.02,0.01,0.02,0.53,0.02,0.0,0.41
73,"(338, 251, 94, 94)",0.03,0.01,0.02,0.61,0.02,0.0,0.32
74,"(339, 254, 91, 91)",0.02,0.0,0.02,0.34,0.01,0.0,0.61
75,"(337, 254, 91, 91)",0.02,0.01,0.03,0.37,0.02,0.0,0.55
76,"(339, 251, 94, 94)",0.01,0.0,0.01,0.55,0.01,0.0,0.41
77,"(338, 250, 96, 96)",0.02,0.0,0.02,0.5,0.01,0.0,0.46
78,"(338, 249, 95, 95)",0.02,0.01,0.04,0.42,0.03,0.0,0.48
79,"(339, 250, 94, 94)",0.02,0.0,0.04,0.49,0.03,0.0,0.43
80,"(339, 254, 91, 91)",0.01,0.0,0.01,0.46,0.01,0.0,0.51
81,"(340, 254, 90, 90)",0.01,0.0,0.03,0.53,0.01,0.01,0.4
82,"(338, 254, 91, 91)",0.02,0.0,0.05,0.34,0.01,0.0,0.57
83,"(339, 254, 90, 90)",0.02,0.0,0.04,0.52,0.01,0.0,0.4
84,"(339, 254, 91, 91)",0.03,0.0,0.04,0.43,0.02,0.0,0.48
85,"(340, 251, 94, 94)",0.02,0.0,0.03,0.45,0.01,0.0,0.48
86,"(341, 251, 93, 93)",0.03,0.01,0.03,0.52,0.02,0.0,0.39
87,"(339, 254, 91, 91)",0.03,0.01,0.04,0.34,0.02,0.0,0.57
88,"(340, 255, 90, 90)",0.03,0.0,0.07,0.23,0.03,0.01,0.64
89,"(339, 250, 95, 95)",0.03,0.02,0.04,0.5,0.02,0.0,0.39
90,"(339, 250, 96, 96)",0.03,0.01,0.02,0.52,0.01,0.0,0.41
91,"(339, 255, 90, 90)",0.04,0.0,0.08,0.24,0.03,0.01,0.61
92,"(339, 250, 95, 95)",0.04,0.01,0.05,0.39,0.04,0.01,0.46
93,"(338, 250, 96, 96)",0.02,0.0,0.03,0.54,0.01,0.0,0.4
94,"(339, 254, 92, 92)",0.02,0.0,0.03,0.22,0.01,0.0,0.71
95,"(338, 249, 97, 97)",0.04,0.01,0.04,0.41,0.02,0.0,0.48
96,"(340, 250, 95, 95)",0.01,0.01,0.02,0.39,0.02,0.0,0.55
97,"(337, 249, 98, 98)",0.02,0.0,0.02,0.45,0.01,0.0,0.49
98,"(338, 253, 93, 93)",0.03,0.0,0.07,0.16,0.01,0.0,0.71
