,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"(273, 269, 139, 139)",0.01,0,0.04,0.07,0.06,0,0.81
1,"(275, 270, 138, 138)",0.01,0,0.03,0.08,0.03,0,0.86
2,"(274, 272, 137, 137)",0.01,0,0.04,0.05,0.05,0,0.85
3,"(276, 273, 134, 134)",0.01,0,0.04,0.08,0.03,0,0.85
4,"(278, 275, 130, 130)",0,0,0.04,0.07,0.02,0,0.86
5,"(278, 274, 130, 130)",0.01,0,0.03,0.05,0.03,0,0.89
6,"(280, 276, 128, 128)",0,0,0.02,0.09,0.02,0,0.87
7,"(281, 276, 129, 129)",0,0,0.03,0.04,0.02,0,0.91
8,"(281, 277, 128, 128)",0,0,0.03,0.04,0.02,0,0.91
9,"(283, 277, 127, 127)",0,0,0.03,0.04,0.03,0,0.91
10,"(284, 278, 125, 125)",0,0,0.02,0.04,0.02,0,0.92
11,"(283, 277, 126, 126)",0,0,0.01,0.05,0.01,0,0.91
12,"(284, 278, 125, 125)",0,0,0.02,0.07,0.01,0,0.89
13,"(283, 277, 127, 127)",0,0,0.02,0.05,0.01,0,0.92
14,"(283, 278, 127, 127)",0,0,0.03,0.03,0.02,0,0.91
15,"(284, 278, 126, 126)",0,0,0.02,0.04,0.01,0,0.92
16,"(284, 277, 127, 127)",0,0,0.03,0.04,0.02,0,0.9
17,"(285, 278, 125, 125)",0,0,0.02,0.04,0.01,0,0.92
18,"(285, 279, 125, 125)",0,0,0.03,0.11,0.02,0,0.84
19,"(285, 279, 125, 125)",0,0,0.03,0.04,0.02,0,0.9
20,"(283, 277, 129, 129)",0,0,0.04,0.04,0.03,0,0.89
21,"(285, 277, 126, 126)",0,0,0.03,0.04,0.02,0,0.91
22,"(285, 277, 125, 125)",0,0,0.03,0.04,0.02,0,0.91
23,"(285, 278, 125, 125)",0,0,0.02,0.05,0.02,0,0.9
24,"(284, 278, 125, 125)",0,0,0.02,0.04,0.02,0,0.92
25,"(284, 278, 124, 124)",0,0,0.02,0.04,0.02,0,0.92
26,"(285, 278, 124, 124)",0.01,0,0.03,0.05,0.02,0,0.89
27,"(284, 278, 125, 125)",0,0,0.04,0.03,0.03,0,0.89
28,"(283, 278, 125, 125)",0,0,0.03,0.02,0.02,0,0.92
29,"(285, 279, 123, 123)",0,0,0.04,0.03,0.02,0,0.9
30,"(284, 278, 125, 125)",0,0,0.04,0.07,0.02,0,0.86
31,"(285, 278, 125, 125)",0.01,0,0.05,0.04,0.03,0,0.88
32,"(284, 278, 125, 125)",0,0,0.03,0.05,0.02,0,0.9
33,"(283, 278, 126, 126)",0,0,0.03,0.03,0.02,0,0.92
34,"(285, 279, 124, 124)",0,0,0.04,0.03,0.02,0,0.91
35,"(284, 279, 125, 125)",0,0,0.03,0.03,0.02,0,0.91
36,"(286, 280, 123, 123)",0,0,0.03,0.03,0.02,0,0.91
37,"(284, 279, 124, 124)",0,0,0.03,0.03,0.01,0,0.93
38,"(282, 273, 130, 130)",0,0,0.01,0.07,0.01,0,0.91
39,"(286, 279, 124, 124)",0,0,0.04,0.03,0.02,0,0.91
40,"(283, 274, 129, 129)",0.01,0,0.03,0.02,0.02,0,0.93
41,"(289, 280, 121, 121)",0.01,0,0.06,0.02,0.04,0,0.88
42,"(289, 280, 122, 122)",0,0,0.04,0.04,0.02,0,0.89
43,"(290, 281, 120, 120)",0,0,0.05,0.02,0.02,0,0.91
44,"(289, 280, 122, 122)",0,0,0.04,0.03,0.02,0,0.9
45,"(286, 277, 126, 126)",0,0,0.06,0.02,0.02,0,0.9
46,"(288, 279, 123, 123)",0.01,0,0.08,0.02,0.04,0,0.85
47,"(289, 279, 123, 123)",0,0,0.05,0.02,0.03,0,0.9
48,"(290, 281, 121, 121)",0,0,0.08,0.02,0.05,0,0.84
49,"(289, 280, 122, 122)",0,0,0.03,0.01,0.02,0,0.94
50,"(288, 279, 124, 124)",0,0,0.03,0.02,0.02,0,0.93
51,"(290, 281, 121, 121)",0,0,0.04,0.01,0.03,0,0.91
52,"(288, 280, 123, 123)",0,0,0.03,0.01,0.02,0,0.94
53,"(289, 281, 122, 122)",0,0,0.03,0.02,0.02,0,0.93
54,"(289, 281, 122, 122)",0,0,0.05,0.02,0.02,0,0.9
55,"(291, 282, 120, 120)",0,0,0.06,0.01,0.04,0,0.89
56,"(291, 282, 120, 120)",0,0,0.04,0.02,0.02,0,0.92
57,"(290, 281, 122, 122)",0,0,0.07,0.02,0.02,0,0.89
58,"(289, 280, 123, 123)",0,0,0.03,0.01,0.03,0,0.92
59,"(289, 281, 122, 122)",0.01,0,0.04,0.02,0.06,0,0.88
60,"(289, 281, 123, 123)",0,0,0.05,0.01,0.05,0,0.87
61,"(290, 282, 123, 123)",0,0,0.04,0.03,0.04,0,0.89
62,"(290, 283, 123, 123)",0,0,0.04,0.02,0.03,0,0.9
63,"(288, 281, 126, 126)",0,0,0.01,0.02,0.02,0,0.95
64,"(289, 282, 125, 125)",0,0,0.01,0.02,0.01,0,0.95
