,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"(319, 278, 108, 108)",0.08,0.0,0.23,0.0,0.59,0.0,0.09
1,"(321, 279, 106, 106)",0.08,0.0,0.21,0.0,0.61,0.01,0.09
2,"(322, 279, 105, 105)",0.14,0.0,0.26,0.0,0.49,0.01,0.1
3,"(321, 278, 107, 107)",0.15,0.0,0.22,0.0,0.49,0.01,0.13
4,"(320, 278, 108, 108)",0.1,0.0,0.3,0.0,0.47,0.01,0.13
5,"(321, 279, 106, 106)",0.08,0.0,0.24,0.0,0.5,0.01,0.17
6,"(322, 279, 106, 106)",0.07,0.0,0.31,0.0,0.52,0.01,0.1
7,"(321, 278, 106, 106)",0.13,0.0,0.27,0.0,0.48,0.01,0.11
8,"(322, 278, 106, 106)",0.13,0.0,0.3,0.0,0.45,0.01,0.11
9,"(322, 278, 106, 106)",0.1,0.0,0.24,0.0,0.52,0.01,0.13
10,"(321, 278, 106, 106)",0.13,0.0,0.29,0.0,0.45,0.01,0.12
11,"(320, 278, 107, 107)",0.13,0.0,0.22,0.0,0.48,0.01,0.16
12,"(321, 278, 106, 106)",0.15,0.0,0.3,0.0,0.42,0.01,0.12
13,"(322, 279, 105, 105)",0.1,0.0,0.25,0.0,0.52,0.0,0.12
14,"(322, 278, 105, 105)",0.12,0.0,0.24,0.0,0.52,0.0,0.11
15,"(321, 278, 106, 106)",0.1,0.0,0.21,0.0,0.56,0.01,0.13
16,"(321, 278, 107, 107)",0.1,0.0,0.25,0.0,0.52,0.0,0.13
17,"(323, 278, 105, 105)",0.12,0.0,0.21,0.0,0.57,0.0,0.11
18,"(322, 277, 107, 107)",0.12,0.0,0.19,0.0,0.56,0.0,0.12
19,"(322, 277, 107, 107)",0.14,0.0,0.17,0.0,0.6,0.0,0.09
20,"(322, 277, 106, 106)",0.11,0.0,0.23,0.0,0.52,0.01,0.13
21,"(323, 276, 107, 107)",0.11,0.0,0.22,0.0,0.51,0.0,0.16
22,"(322, 277, 106, 106)",0.15,0.0,0.19,0.0,0.5,0.0,0.16
23,"(319, 273, 107, 107)",0.16,0.0,0.08,0.0,0.6,0.0,0.15
24,"(322, 275, 107, 107)",0.1,0.0,0.13,0.0,0.62,0.0,0.15
25,"(318, 270, 110, 110)",0.16,0.0,0.11,0.0,0.5,0.0,0.22
26,"(317, 270, 111, 111)",0.1,0.0,0.13,0.0,0.43,0.01,0.33
